Surname,passenger_count,survived_count,survival_rate,passenger_ids,names
Caram,1,0,0.0,579,"Caram, Mrs. Joseph (Maria Elias)"
Carbines,1,0,0.0,192,"Carbines, Mr. William"
Carrau,1,0,0.0,84,"Carrau, Mr. Francisco M"
Cavendish,1,0,0.0,742,"Cavendish, Mr. Tyrell William"
Celotti,1,0,0.0,90,"Celotti, Mr. Francesco"
Chaffee,1,0,0.0,93,"Chaffee, Mr. Herbert Fuller"
Charters,1,0,0.0,422,"Charters, Mr. David"
Christmann,1,0,0.0,91,"Christmann, Mr. Emil"
Chronopoulos,1,0,0.0,74,"Chronopoulos, Mr. Apostolos"
Clifford,1,0,0.0,476,"Clifford, Mr. George Quincy"
Coelho,1,0,0.0,132,"Coelho, Mr. Domingos Fernandeo"
Coleridge,1,0,0.0,243,"Coleridge, Mr. Reginald Charles"
Collander,1,0,0.0,343,"Collander, Mr. Erik Gustaf"
Colley,1,0,0.0,663,"Colley, Mr. Edward Pomeroy"
Connaghton,1,0,0.0,750,"Connaghton, Mr. Michael"
Connors,1,0,0.0,117,"Connors, Mr. Patrick"
Cook,1,0,0.0,669,"Cook, Mr. Jacob"
Cor,1,0,0.0,647,"Cor, Mr. Liudevit"
Corn,1,0,0.0,158,"Corn, Mr. Harry"
Coxon,1,0,0.0,95,"Coxon, Mr. Daniel"
Crease,1,0,0.0,68,"Crease, Mr. Ernest James"
Cribb,1,0,0.0,161,"Cribb, Mr. John Hatfield"
Culumovic,1,0,0.0,845,"Culumovic, Mr. Jeso"
Cunningham,1,0,0.0,414,"Cunningham, Mr. Alfred Fleming"
Dahlberg,1,0,0.0,883,"Dahlberg, Miss. Gerda Ulrika"
Dakic,1,0,0.0,688,"Dakic, Mr. Branko"
Danoff,1,0,0.0,322,"Danoff, Mr. Yoto"
Dantcheff,1,0,0.0,795,"Dantcheff, Mr. Ristiu"
Davidson,1,0,0.0,672,"Davidson, Mr. Thornton"
Denkoff,1,0,0.0,336,"Denkoff, Mr. Mitto"
Dennis,1,0,0.0,321,"Dennis, Mr. Samuel"
Dimic,1,0,0.0,350,"Dimic, Mr. Jovan"
Doharr,1,0,0.0,569,"Doharr, Mr. Tannous"
Dooley,1,0,0.0,891,"Dooley, Mr. Patrick"
Douglas,1,0,0.0,545,"Douglas, Mr. Walter Donald"
Downton,1,0,0.0,583,"Downton, Mr. William James"
Drazenoic,1,0,0.0,131,"Drazenoic, Mr. Jozef"
Duane,1,0,0.0,281,"Duane, Mr. Frank"
Edvardsson,1,0,0.0,676,"Edvardsson, Mr. Gustaf Hjalmar"
Eitemiller,1,0,0.0,659,"Eitemiller, Mr. George Floyd"
Eklund,1,0,0.0,765,"Eklund, Mr. Hans Linus"
Ekstrom,1,0,0.0,130,"Ekstrom, Mr. Johan"
Elsbury,1,0,0.0,593,"Elsbury, Mr. William James"
Emir,1,0,0.0,27,"Emir, Mr. Farred Chehab"
Fahlstrom,1,0,0.0,229,"Fahlstrom, Mr. Arne Jonas"
Farrell,1,0,0.0,526,"Farrell, Mr. James"
Farthing,1,0,0.0,528,"Farthing, Mr. John"
Fischer,1,0,0.0,689,"Fischer, Mr. Eberhard Thelander"
Foreman,1,0,0.0,453,"Foreman, Mr. Benjamin Laventall"
Fox,1,0,0.0,345,"Fox, Mr. Stanley Hubert"
Frost,1,0,0.0,482,"Frost, Mr. Anthony Wood ""Archie"""
Fry,1,0,0.0,816,"Fry, Mr. Richard"
Funk,1,0,0.0,358,"Funk, Miss. Annie Clemmer"
Fynney,1,0,0.0,21,"Fynney, Mr. Joseph J"
Gale,1,0,0.0,406,"Gale, Mr. Shadrach"
Gallagher,1,0,0.0,704,"Gallagher, Mr. Martin"
Garfirth,1,0,0.0,761,"Garfirth, Mr. John"
Gaskell,1,0,0.0,792,"Gaskell, Mr. Alfred"
Gavey,1,0,0.0,620,"Gavey, Mr. Lawrence"
Gee,1,0,0.0,463,"Gee, Mr. Arthur H"
Gheorgheff,1,0,0.0,421,"Gheorgheff, Mr. Stanio"
Giglio,1,0,0.0,140,"Giglio, Mr. Victor"
Giles,1,0,0.0,862,"Giles, Mr. Frederick Edward"
Gilinski,1,0,0.0,589,"Gilinski, Mr. Eliezer"
Gill,1,0,0.0,865,"Gill, Mr. John William"
Gillespie,1,0,0.0,723,"Gillespie, Mr. William Henry"
Givard,1,0,0.0,214,"Givard, Mr. Hans Kristensen"
Goldschmidt,1,0,0.0,97,"Goldschmidt, Mr. George B"
Goncalves,1,0,0.0,466,"Goncalves, Mr. Manuel Estanslas"
Green,1,0,0.0,223,"Green, Mr. George Henry"
Greenberg,1,0,0.0,715,"Greenberg, Mr. Samuel"
Gronnestad,1,0,0.0,770,"Gronnestad, Mr. Daniel Danielsen"
Guggenheim,1,0,0.0,790,"Guggenheim, Mr. Benjamin"
Haas,1,0,0.0,294,"Haas, Miss. Aloisia"
Hale,1,0,0.0,179,"Hale, Mr. Reginald"
Hampe,1,0,0.0,442,"Hampe, Mr. Leon"
Hanna,1,0,0.0,297,"Hanna, Mr. Mansour"
Harknett,1,0,0.0,236,"Harknett, Miss. Alice Phoebe"
Harmer,1,0,0.0,786,"Harmer, Mr. Abraham (David Lishin)"
Harrington,1,0,0.0,603,"Harrington, Mr. Charles H"
Harrison,1,0,0.0,264,"Harrison, Mr. William"
Hassan,1,0,0.0,732,"Hassan, Mr. Houssein G N"
Hegarty,1,0,0.0,655,"Hegarty, Miss. Hanora ""Nora"""
Heininen,1,0,0.0,817,"Heininen, Miss. Wendla Maria"
Hendekovic,1,0,0.0,314,"Hendekovic, Mr. Ignjac"
Henry,1,0,0.0,265,"Henry, Miss. Delia"
Hodges,1,0,0.0,724,"Hodges, Mr. Henry Price"
Hold,1,0,0.0,237,"Hold, Mr. Stephen"
Holm,1,0,0.0,819,"Holm, Mr. John Fredrik Alexander"
Hood,1,0,0.0,73,"Hood, Mr. Ambrose Jr"
Horgan,1,0,0.0,614,"Horgan, Mr. John"
Humblen,1,0,0.0,700,"Humblen, Mr. Adolf Mathias Nicolai Olsen"
Hunt,1,0,0.0,240,"Hunt, Mr. George Henry"
Ibrahim Shawah,1,0,0.0,799,"Ibrahim Shawah, Mr. Yousseff"
Ilmakangas,1,0,0.0,730,"Ilmakangas, Miss. Pieta Sofia"
Isham,1,0,0.0,178,"Isham, Miss. Ann Elizabeth"
Ivanoff,1,0,0.0,739,"Ivanoff, Mr. Kanio"
Jardin,1,0,0.0,612,"Jardin, Mr. Jose Neto"
Jarvis,1,0,0.0,587,"Jarvis, Mr. John Denzil"
Jenkin,1,0,0.0,71,"Jenkin, Mr. Stephen Curnow"
Johanson,1,0,0.0,203,"Johanson, Mr. Jakob Alfred"
Jonkoff,1,0,0.0,754,"Jonkoff, Mr. Lalio"
Kallio,1,0,0.0,434,"Kallio, Mr. Nikolai Erland"
Kalvik,1,0,0.0,653,"Kalvik, Mr. Johannes Halvorsen"
Karaic,1,0,0.0,607,"Karaic, Mr. Milan"
Karlsson,1,0,0.0,479,"Karlsson, Mr. Nils August"
Kassem,1,0,0.0,525,"Kassem, Mr. Fared"
Keefe,1,0,0.0,471,"Keefe, Mr. Arthur"
Kent,1,0,0.0,488,"Kent, Mr. Edward Austin"
Kiernan,1,0,0.0,215,"Kiernan, Mr. Philip"
Kilgannon,1,0,0.0,779,"Kilgannon, Mr. Thomas J"
Kink,1,0,0.0,70,"Kink, Mr. Vincenz"
Kirkland,1,0,0.0,627,"Kirkland, Rev. Charles Leonard"
Klaber,1,0,0.0,712,"Klaber, Mr. Herman"
Klasen,1,0,0.0,176,"Klasen, Mr. Klas Albin"
Knight,1,0,0.0,733,"Knight, Mr. Robert J"
Kraeff,1,0,0.0,43,"Kraeff, Mr. Theodor"
Kvillner,1,0,0.0,440,"Kvillner, Mr. Johan Henrik Johannesson"
Lahoud,1,0,0.0,523,"Lahoud, Mr. Sarkis"
Lahtinen,1,0,0.0,313,"Lahtinen, Mrs. William (Anna Sylfven)"
Laitinen,1,0,0.0,504,"Laitinen, Miss. Kristina Sofia"
Laleff,1,0,0.0,879,"Laleff, Mr. Kristo"
Leinonen,1,0,0.0,637,"Leinonen, Mr. Antti Gustaf"
Lemberopolous,1,0,0.0,844,"Lemberopolous, Mr. Peter L"
Lennon,1,0,0.0,47,"Lennon, Mr. Denis"
Leonard,1,0,0.0,180,"Leonard, Mr. Lionel"
Lester,1,0,0.0,812,"Lester, Mr. James"
Levy,1,0,0.0,293,"Levy, Mr. Rene Jacques"
Lewy,1,0,0.0,296,"Lewy, Mr. Ervin G"
Leyson,1,0,0.0,235,"Leyson, Mr. Robert William Norman"
Lievens,1,0,0.0,771,"Lievens, Mr. Rene Aime"
Lindahl,1,0,0.0,247,"Lindahl, Miss. Agda Thorilda Viktoria"
Lindblom,1,0,0.0,277,"Lindblom, Miss. Augusta Charlotta"
Lindell,1,0,0.0,606,"Lindell, Mr. Edvard Bengtsson"
Ling,1,0,0.0,170,"Ling, Mr. Lee"
Long,1,0,0.0,783,"Long, Mr. Milton Clyde"
Lovell,1,0,0.0,228,"Lovell, Mr. John Hall (""Henry"")"
Lundahl,1,0,0.0,632,"Lundahl, Mr. Johan Svensson"
Mack,1,0,0.0,773,"Mack, Mrs. (Mary)"
Maenpaa,1,0,0.0,244,"Maenpaa, Mr. Matti Alexanteri"
Maisner,1,0,0.0,465,"Maisner, Mr. Simon"
Mangan,1,0,0.0,768,"Mangan, Miss. Mary"
Markoff,1,0,0.0,848,"Markoff, Mr. Marin"
Markun,1,0,0.0,882,"Markun, Mr. Johann"
Marvin,1,0,0.0,749,"Marvin, Mr. Daniel Warner"
Matthews,1,0,0.0,419,"Matthews, Mr. William John"
McCarthy,1,0,0.0,7,"McCarthy, Mr. Timothy J"
McEvoy,1,0,0.0,719,"McEvoy, Mr. Michael"
McKane,1,0,0.0,398,"McKane, Mr. Peter David"
McMahon,1,0,0.0,127,"McMahon, Mr. Martin"
McNamee,1,0,0.0,744,"McNamee, Mr. Neal"
Meanwell,1,0,0.0,565,"Meanwell, Miss. (Marion Ogden)"
Meek,1,0,0.0,416,"Meek, Mrs. Thomas (Annie Louise Rowley)"
Meo,1,0,0.0,153,"Meo, Mr. Alfonzo"
Mernagh,1,0,0.0,197,"Mernagh, Mr. Robert"
Millet,1,0,0.0,457,"Millet, Mr. Francis Davis"
Milling,1,0,0.0,464,"Milling, Mr. Jacob Christian"
Mineff,1,0,0.0,295,"Mineff, Mr. Ivan"
Mionoff,1,0,0.0,106,"Mionoff, Mr. Stoytcho"
Mitchell,1,0,0.0,673,"Mitchell, Mr. Henry Michael"
Mitkoff,1,0,0.0,651,"Mitkoff, Mr. Mito"
Moen,1,0,0.0,76,"Moen, Mr. Sigurd Hansen"
Molson,1,0,0.0,493,"Molson, Mr. Harry Markland"
Montvila,1,0,0.0,887,"Montvila, Rev. Juozas"
Moore,1,0,0.0,122,"Moore, Mr. Leonard Charles"
Moraweck,1,0,0.0,318,"Moraweck, Dr. Ernest"
Morrow,1,0,0.0,561,"Morrow, Mr. Thomas Rowan"
Moutal,1,0,0.0,78,"Moutal, Mr. Rahamin Haim"
Mudd,1,0,0.0,842,"Mudd, Mr. Thomas Charles"
Murdlin,1,0,0.0,590,"Murdlin, Mr. Joseph"
Myhrman,1,0,0.0,776,"Myhrman, Mr. Pehr Fabian Oliver Malkolm"
Naidenoff,1,0,0.0,288,"Naidenoff, Mr. Penko"
Nankoff,1,0,0.0,740,"Nankoff, Mr. Minko"
Natsch,1,0,0.0,274,"Natsch, Mr. Charles H"
Nenkoff,1,0,0.0,224,"Nenkoff, Mr. Christo"
Nicholls,1,0,0.0,146,"Nicholls, Mr. Joseph Charles"
Nicholson,1,0,0.0,546,"Nicholson, Mr. Arthur Ernest"
Nirva,1,0,0.0,762,"Nirva, Mr. Iisakki Antino Aijo"
Norman,1,0,0.0,563,"Norman, Mr. Robert Douglas"
Nosworthy,1,0,0.0,52,"Nosworthy, Mr. Richard Cater"
Novel,1,0,0.0,58,"Novel, Mr. Mansouer"
Nysveen,1,0,0.0,327,"Nysveen, Mr. Johan Hansen"
O'Connell,1,0,0.0,630,"O'Connell, Mr. Patrick D"
O'Connor,1,0,0.0,460,"O'Connor, Mr. Maurice"
O'Sullivan,1,0,0.0,503,"O'Sullivan, Miss. Bridget Mary"
Odahl,1,0,0.0,351,"Odahl, Mr. Nils Martin"
Olsvigen,1,0,0.0,683,"Olsvigen, Mr. Thor Anderson"
Osen,1,0,0.0,139,"Osen, Mr. Olaf Elon"
Ostby,1,0,0.0,55,"Ostby, Mr. Engelhart Cornelius"
Otter,1,0,0.0,796,"Otter, Mr. Richard"
Pain,1,0,0.0,399,"Pain, Dr. Alfred"
Parkes,1,0,0.0,278,"Parkes, Mr. Francis ""Frank"""
Parr,1,0,0.0,634,"Parr, Mr. William Henry Marsh"
Partner,1,0,0.0,332,"Partner, Mr. Austen"
Pasic,1,0,0.0,837,"Pasic, Mr. Jakob"
Patchett,1,0,0.0,576,"Patchett, Mr. George"
Paulner,1,0,0.0,585,"Paulner, Mr. Uscher"
Pavlovic,1,0,0.0,520,"Pavlovic, Mr. Stefo"
Peduzzi,1,0,0.0,455,"Peduzzi, Mr. Joseph"
Pekoniemi,1,0,0.0,116,"Pekoniemi, Mr. Edvard"
Pengelly,1,0,0.0,239,"Pengelly, Mr. Frederick William"
Perkin,1,0,0.0,213,"Perkin, Mr. John Henry"
Pernot,1,0,0.0,182,"Pernot, Mr. Rene"
Peters,1,0,0.0,681,"Peters, Miss. Katie"
Petranec,1,0,0.0,101,"Petranec, Miss. Matilda"
Petterson,1,0,0.0,443,"Petterson, Mr. Johan Emil"
Pettersson,1,0,0.0,808,"Pettersson, Miss. Ellen Natalia"
Plotcharsky,1,0,0.0,385,"Plotcharsky, Mr. Vasil"
Ponesell,1,0,0.0,801,"Ponesell, Mr. Martin"
Porter,1,0,0.0,111,"Porter, Mr. Walter Chamberlain"
Radeff,1,0,0.0,657,"Radeff, Mr. Alexander"
Razi,1,0,0.0,860,"Razi, Mr. Raihed"
Reed,1,0,0.0,251,"Reed, Mr. James George"
Reeves,1,0,0.0,266,"Reeves, Mr. David"
Rekic,1,0,0.0,109,"Rekic, Mr. Tido"
Reuchlin,1,0,0.0,823,"Reuchlin, Jonkheer. John George"
Richard,1,0,0.0,136,"Richard, Mr. Emile"
Ringhini,1,0,0.0,374,"Ringhini, Mr. Sante"
Rintamaki,1,0,0.0,591,"Rintamaki, Mr. Matti"
Risien,1,0,0.0,539,"Risien, Mr. Samuel Beard"
Robbins,1,0,0.0,558,"Robbins, Mr. Victor"
Robins,1,0,0.0,133,"Robins, Mrs. Alexander A (Grace Charity Laury)"
Roebling,1,0,0.0,868,"Roebling, Mr. Washington Augustus II"
Rogers,1,0,0.0,46,"Rogers, Mr. William John"
Rommetvedt,1,0,0.0,668,"Rommetvedt, Mr. Knud Paust"
Rood,1,0,0.0,186,"Rood, Mr. Hugh Roscoe"
Ross,1,0,0.0,584,"Ross, Mr. John Hugo"
Rouse,1,0,0.0,483,"Rouse, Mr. Richard Henry"
Rush,1,0,0.0,575,"Rush, Mr. Alfred George John"
Ryan,1,0,0.0,518,"Ryan, Mr. Patrick"
Sadlier,1,0,0.0,389,"Sadlier, Mr. Matthew"
Salonen,1,0,0.0,529,"Salonen, Mr. Johan Werner"
Samaan,1,0,0.0,49,"Samaan, Mr. Youssef"
Saundercock,1,0,0.0,13,"Saundercock, Mr. William Henry"
Sawyer,1,0,0.0,677,"Sawyer, Mr. Frederick Charles"
Scanlan,1,0,0.0,469,"Scanlan, Mr. James"
Sdycoff,1,0,0.0,411,"Sdycoff, Mr. Todor"
Sedgwick,1,0,0.0,344,"Sedgwick, Mr. Charles Frederick Waddington"
Sharp,1,0,0.0,552,"Sharp, Mr. Percival James R"
Shellard,1,0,0.0,498,"Shellard, Mr. Frederick William"
Shorney,1,0,0.0,96,"Shorney, Mr. Charles Joseph"
Simmons,1,0,0.0,564,"Simmons, Mr. John"
Sirayanian,1,0,0.0,61,"Sirayanian, Mr. Orsen"
Sirota,1,0,0.0,838,"Sirota, Mr. Maurice"
Sivic,1,0,0.0,562,"Sivic, Mr. Husein"
Sivola,1,0,0.0,174,"Sivola, Mr. Antti Wilhelm"
Sjostedt,1,0,0.0,233,"Sjostedt, Mr. Ernst Adolf"
Slabenoff,1,0,0.0,602,"Slabenoff, Mr. Petco"
Slemen,1,0,0.0,813,"Slemen, Mr. Richard James"
Slocovski,1,0,0.0,88,"Slocovski, Mr. Selman Francis"
Smart,1,0,0.0,468,"Smart, Mr. John Montgomery"
Smiljanic,1,0,0.0,159,"Smiljanic, Mr. Mile"
Sobey,1,0,0.0,135,"Sobey, Mr. Samuel James Hayden"
Soholt,1,0,0.0,716,"Soholt, Mr. Peter Andreas Lauritz Andersen"
Somerton,1,0,0.0,489,"Somerton, Mr. Francis William"
Staneff,1,0,0.0,77,"Staneff, Mr. Ivan"
Stankovic,1,0,0.0,286,"Stankovic, Mr. Ivan"
Stead,1,0,0.0,253,"Stead, Mr. William Thomas"
Stewart,1,0,0.0,65,"Stewart, Mr. Albert A"
Stoytcheff,1,0,0.0,567,"Stoytcheff, Mr. Ilia"
Strandberg,1,0,0.0,475,"Strandberg, Miss. Ida Sofia"
Sutehall,1,0,0.0,885,"Sutehall, Mr. Henry Jr"
Sutton,1,0,0.0,626,"Sutton, Mr. Frederick"
Theobald,1,0,0.0,759,"Theobald, Mr. Thomas Leonard"
Tikkanen,1,0,0.0,383,"Tikkanen, Mr. Juho"
Tobin,1,0,0.0,777,"Tobin, Mr. Roger"
Todoroff,1,0,0.0,30,"Todoroff, Mr. Lalio"
Tomlin,1,0,0.0,815,"Tomlin, Mr. Ernest Portage"
Torber,1,0,0.0,604,"Torber, Mr. Ernst William"
Toufik,1,0,0.0,532,"Toufik, Mr. Nakli"
Troupiansky,1,0,0.0,735,"Troupiansky, Mr. Moses Aaron"
Turcin,1,0,0.0,190,"Turcin, Mr. Stjepan"
Uruchurtu,1,0,0.0,31,"Uruchurtu, Don. Manuel E"
Van der hoef,1,0,0.0,171,"Van der hoef, Mr. Wyckoff"
Vande Velde,1,0,0.0,753,"Vande Velde, Mr. Johannes Joseph"
Vande Walle,1,0,0.0,201,"Vande Walle, Mr. Nestor Cyriel"
Vanden Steen,1,0,0.0,356,"Vanden Steen, Mr. Leo Peter"
Vander Cruyssen,1,0,0.0,874,"Vander Cruyssen, Mr. Victor"
Vestrom,1,0,0.0,15,"Vestrom, Miss. Hulda Amanda Adolfina"
Vovk,1,0,0.0,522,"Vovk, Mr. Janko"
Waelens,1,0,0.0,81,"Waelens, Mr. Achille"
Walker,1,0,0.0,516,"Walker, Mr. William Anderson"
Watson,1,0,0.0,675,"Watson, Mr. Ennis Hastings"
Weir,1,0,0.0,695,"Weir, Col. John"
Wheadon,1,0,0.0,34,"Wheadon, Mr. Edward H"
Widegren,1,0,0.0,407,"Widegren, Mr. Carl/Charles Peter"
Widener,1,0,0.0,378,"Widener, Mr. Harry Elkins"
Wiklund,1,0,0.0,372,"Wiklund, Mr. Jakob Alfred"
Willey,1,0,0.0,649,"Willey, Mr. Edward"
Williams-Lambert,1,0,0.0,352,"Williams-Lambert, Mr. Fletcher Fellows"
Windelov,1,0,0.0,492,"Windelov, Mr. Einar"
Wiseman,1,0,0.0,426,"Wiseman, Mr. Phillippe"
Wright,1,0,0.0,556,"Wright, Mr. George"
Youseff,1,0,0.0,204,"Youseff, Mr. Gerious"
Yousif,1,0,0.0,355,"Yousif, Mr. Wazli"
Yousseff,1,0,0.0,496,"Yousseff, Mr. Gerious"
Yrois,1,0,0.0,200,"Yrois, Miss. Henriette (""Mrs Harbeck"")"
Zimmerman,1,0,0.0,423,"Zimmerman, Mr. Leo"
de Pelsmaeker,1,0,0.0,283,"de Pelsmaeker, Mr. Alfons"
del Carlo,1,0,0.0,362,"del Carlo, Mr. Sebastiano"
van Billiard,1,0,0.0,154,"van Billiard, Mr. Austin Blyler"
van Melkebeke,1,0,0.0,869,"van Melkebeke, Mr. Philemon"
